subid,justifications,item,theme-MM,theme 2- MM,theme-AA,theme 2-AA,theme-HY,theme 2- HY,,Agreement,2nd Agreement,Final theme
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,it's rude,teacher,disrespect,,disrespect,,disrespect,,,1,,disrespect
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,not following the rules,toys,social order,,social order,,social order,,,1,,social order
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,disrespect to elders,back to elder,disrespect,,disrespect,,disrespect,,,1,,disrespect
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
SH100416-3,,,,,,,,,,,,
